,K55 CNC,Machine_Type,Total_Dim,Shift1_Sample_Taken,Shift1_OK_Count,Shift1_NG_Count,Shift1_Yield%,Shift1_NG_List,Shift2_Sample_Taken,Shift2_OK_Count,Shift2_NG_Count,Shift2_Yield%,Shift2_NG_List,Shift3_Sample_Taken,Shift3_OK_Count,Shift3_NG_Count,Shift3_Yield%,Shift3_NG_List
69,BM1L1C1F30,BU,33,30.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
70,BM1L1C1F30,LR,16,26.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
71,BM1L1C1F30,RR,7,14.0,0.0,14.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
72,BM1L1C1F31,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
73,BM1L1C1F31,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
74,BM1L1C1F31,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
75,BM1L1C1F32,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
76,BM1L1C1F32,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
77,BM1L1C1F32,RR,7,35.0,0.0,35.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
78,BM1L1C1F33,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
79,BM1L1C1F33,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
80,BM1L1C1F33,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
81,BM1L1C1F34,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
82,BM1L1C1F34,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
83,BM1L1C1F34,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
84,BM1L1C1F35,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
85,BM1L1C1F35,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
86,BM1L1C1F35,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
87,BM1L1C1F36,BU,33,30.0,29.0,1.0,96.7%,"('P66',)",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
88,BM1L1C1F36,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
89,BM1L1C1F36,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
90,BM1L1C1F37,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
91,BM1L1C1F37,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
92,BM1L1C1F37,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
93,BM1L1C1F38,BU,33,15.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
94,BM1L1C1F38,LR,16,13.0,0.0,0.0,0.0%,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
95,BM1L1C1F38,RR,7,7.0,0.0,7.0,0.0%,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
