,K55 CNC,Machine_Type,Total_Dim_x,Sample_Taken,OK_Count,Yield%_y,Shift1_Sample_Taken,Shift1_DIM_Inspected,Shift1_OK_Count,Shift1_NG_Count,Shift1_NG_List,Shift2_Sample_Taken,Shift2_DIM_Inspected,Shift2_OK_Count,Shift2_NG_Count,Shift2_NG_List,Shift3_Sample_Taken,Shift3_DIM_Inspected,Shift3_OK_Count,Shift3_NG_Count,Shift3_NG_List
825,BM1L3C1F31,BU,33,49,49.0,100.0%,49.0,11.0,49.0,0.0,0,49.0,11.0,49.0,0.0,0,49.0,12.0,49.0,0.0,0
828,BM1L3C1F31,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
830,BM1L3C1F31,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
833,BM1L3C1F33,BU,33,15,15.0,100.0%,15.0,11.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
834,BM1L3C1F33,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
835,BM1L3C1F33,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
836,BM1L3C1F34,BU,33,30,28.0,93.3%,30.0,11.0,28.0,2.0,"('P66',)",30.0,11.0,28.0,2.0,"('P66',)",0.0,0.0,0.0,0.0,0
838,BM1L3C1F34,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0
840,BM1L3C1F34,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
842,BM1L3C1F35,BU,33,15,14.0,93.3%,15.0,11.0,14.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
843,BM1L3C1F35,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
844,BM1L3C1F35,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
845,BM1L3C1F4,BU,33,34,33.0,97.1%,34.0,12.0,33.0,1.0,0,34.0,11.0,33.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0
847,BM1L3C1F4,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,0.0,0.0,0.0,0.0,0
849,BM1L3C1F4,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
851,BM1L3C1F46,BU,33,15,14.0,93.3%,15.0,11.0,14.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
852,BM1L3C1F46,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
853,BM1L3C1F46,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
854,BM1L3C1F48,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
856,BM1L3C1F48,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
858,BM1L3C1F48,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
860,BM1L3C1F5,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
863,BM1L3C1F7,BU,33,87,84.0,96.6%,87.0,11.0,84.0,3.0,0,87.0,11.0,84.0,3.0,0,87.0,12.0,84.0,3.0,"('P63_2', 'P63_3', 'P63_4')"
866,BM1L3C1F7,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
869,BM1L3C1F7,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
872,BM1L3C1F8,BU,33,15,15.0,100.0%,15.0,11.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
873,BM1L3C1F8,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
874,BM1L3C1F8,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
875,BM1L3CF11,BU,33,19,16.0,84.2%,19.0,12.0,16.0,3.0,"('P63_2', 'P63_3', 'P63_4')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
876,BM1L3CF11,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
877,BM1L3CF11,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
878,BM1L3CF18,BU,33,19,18.0,94.7%,19.0,12.0,18.0,1.0,"('P63_1',)",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
879,BM1L3CF18,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
880,BM1L3CF22,BU,33,19,19.0,100.0%,19.0,12.0,19.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
881,BM1L3CF22,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
882,BM1L3CF22,RR,7,7,0.0,0.0%,7.0,4.0,0.0,7.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
883,BM1L4C1F13,BU,33,30,28.0,93.3%,30.0,11.0,28.0,2.0,"('P66',)",30.0,11.0,28.0,2.0,"('P66',)",0.0,0.0,0.0,0.0,0
885,BM1L4C1F13,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0
887,BM1L4C1F13,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
889,BM1L4C1F14,BU,33,49,49.0,100.0%,49.0,12.0,49.0,0.0,0,0.0,0.0,0.0,0.0,0,49.0,11.0,49.0,0.0,0
891,BM1L4C1F14,LR,16,65,64.0,98.5%,65.0,12.0,64.0,1.0,0,0.0,0.0,0.0,0.0,0,65.0,12.0,64.0,1.0,"('FAI0780',)"
893,BM1L4C1F14,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
895,BM1L4C1F15,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,0.0,0.0,0.0,0.0,0,45.0,11.0,45.0,0.0,0
897,BM1L4C1F15,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,0.0,0.0,0.0,0.0,0,39.0,12.0,39.0,0.0,0
899,BM1L4C1F15,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
901,BM1L4C1F16,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0,45.0,11.0,45.0,0.0,0
904,BM1L4C1F16,LR,16,52,51.0,98.1%,52.0,12.0,51.0,1.0,0,52.0,12.0,51.0,1.0,"('FAI0780',)",52.0,12.0,51.0,1.0,0
907,BM1L4C1F16,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
910,BM1L4C1F17,BU,33,45,44.0,97.8%,45.0,11.0,44.0,1.0,0,45.0,11.0,44.0,1.0,0,45.0,11.0,44.0,1.0,"('P64',)"
913,BM1L4C1F17,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
916,BM1L4C1F17,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
919,BM1L4C1F18,BU,33,45,44.0,97.8%,45.0,11.0,44.0,1.0,0,45.0,11.0,44.0,1.0,"('P64',)",45.0,11.0,44.0,1.0,0
922,BM1L4C1F18,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
925,BM1L4C1F18,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
928,BM1L4C1F19,BU,33,45,44.0,97.8%,45.0,11.0,44.0,1.0,0,45.0,11.0,44.0,1.0,"('P66',)",45.0,11.0,44.0,1.0,0
931,BM1L4C1F19,LR,16,39,39.0,100.0%,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0,39.0,12.0,39.0,0.0,0
934,BM1L4C1F19,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
937,BM1L4C1F2,BU,33,45,45.0,100.0%,45.0,11.0,45.0,0.0,0,0.0,0.0,0.0,0.0,0,45.0,11.0,45.0,0.0,0
939,BM1L4C1F2,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
940,BM1L4C1F2,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
941,BM1L4C1F20,BU,33,49,48.0,98.0%,49.0,11.0,48.0,1.0,0,49.0,11.0,48.0,1.0,0,49.0,12.0,48.0,1.0,"('P63_4',)"
944,BM1L4C1F20,LR,16,52,51.0,98.1%,52.0,12.0,51.0,1.0,0,52.0,12.0,51.0,1.0,0,52.0,12.0,51.0,1.0,"('FAI0780',)"
947,BM1L4C1F20,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
950,BM1L4C1F21,BU,33,30,29.0,96.7%,30.0,11.0,29.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0,30.0,11.0,29.0,1.0,0
952,BM1L4C1F21,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
954,BM1L4C1F21,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
956,BM1L4C1F25,BU,33,15,14.0,93.3%,15.0,11.0,14.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
957,BM1L4C1F25,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
958,BM1L4C1F25,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
959,BM1L4C1F26,BU,33,30,29.0,96.7%,30.0,11.0,29.0,1.0,0,30.0,11.0,29.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0
961,BM1L4C1F26,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0
963,BM1L4C1F26,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0
965,BM1L4C1F27,BU,33,60,56.0,93.3%,60.0,11.0,56.0,4.0,"('P66',)",60.0,11.0,56.0,4.0,"('P66',)",60.0,11.0,56.0,4.0,"('FAI0373', 'P66')"
968,BM1L4C1F27,LR,16,65,64.0,98.5%,65.0,12.0,64.0,1.0,0,65.0,12.0,64.0,1.0,0,65.0,12.0,64.0,1.0,"('FAI0780',)"
971,BM1L4C1F27,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
974,BM1L4C1F28,BU,33,68,66.0,97.1%,68.0,12.0,66.0,2.0,"('P63_3', 'P63_4')",0.0,0.0,0.0,0.0,0,68.0,11.0,66.0,2.0,0
976,BM1L4C1F28,LR,16,65,65.0,100.0%,65.0,12.0,65.0,0.0,0,0.0,0.0,0.0,0.0,0,65.0,12.0,65.0,0.0,0
978,BM1L4C1F28,RR,7,42,0.0,0.0%,42.0,4.0,0.0,42.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,42.0,4.0,0.0,42.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
980,BM1L4C1F29,BU,33,64,63.0,98.4%,64.0,11.0,63.0,1.0,0,64.0,11.0,63.0,1.0,0,64.0,12.0,63.0,1.0,"('P63_1',)"
983,BM1L4C1F29,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
986,BM1L4C1F29,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
989,BM1L4C1F3,BU,33,64,61.0,95.3%,64.0,12.0,61.0,3.0,"('P63_2', 'P63_3', 'P63_4')",64.0,11.0,61.0,3.0,0,64.0,11.0,61.0,3.0,0
992,BM1L4C1F3,LR,16,52,52.0,100.0%,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0,52.0,12.0,52.0,0.0,0
995,BM1L4C1F3,RR,7,28,0.0,0.0%,28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",28.0,4.0,0.0,28.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
998,BM1L4C1F30,BU,33,30,29.0,96.7%,30.0,11.0,29.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0,30.0,11.0,29.0,1.0,0
1000,BM1L4C1F30,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
1002,BM1L4C1F30,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1004,BM1L4C1F31,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
1006,BM1L4C1F31,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
1008,BM1L4C1F31,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1010,BM1L4C1F32,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
1012,BM1L4C1F32,LR,16,26,25.0,96.2%,26.0,12.0,25.0,1.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,25.0,1.0,"('FAI0268',)"
1014,BM1L4C1F32,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1016,BM1L4C1F33,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
1018,BM1L4C1F33,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
1020,BM1L4C1F33,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1022,BM1L4C1F34,BU,33,45,44.0,97.8%,45.0,11.0,44.0,1.0,"('P66',)",0.0,0.0,0.0,0.0,0,45.0,11.0,44.0,1.0,0
1024,BM1L4C1F34,LR,16,65,64.0,98.5%,65.0,12.0,64.0,1.0,"('FAI0276',)",0.0,0.0,0.0,0.0,0,65.0,12.0,64.0,1.0,0
1026,BM1L4C1F34,RR,7,21,0.0,0.0%,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241', 'FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,21.0,4.0,0.0,21.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1028,BM1L4C1F35,BU,33,30,28.0,93.3%,30.0,11.0,28.0,2.0,"('P66',)",0.0,0.0,0.0,0.0,0,30.0,11.0,28.0,2.0,"('P66',)"
1030,BM1L4C1F35,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
1032,BM1L4C1F35,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1034,BM1L4C1F36,BU,33,30,28.0,93.3%,30.0,11.0,28.0,2.0,"('P66',)",0.0,0.0,0.0,0.0,0,30.0,11.0,28.0,2.0,"('P66',)"
1036,BM1L4C1F36,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
1038,BM1L4C1F36,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1040,BM1L4C1F37,BU,33,30,30.0,100.0%,30.0,11.0,30.0,0.0,0,0.0,0.0,0.0,0.0,0,30.0,11.0,30.0,0.0,0
1042,BM1L4C1F37,LR,16,26,26.0,100.0%,26.0,12.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0,26.0,12.0,26.0,0.0,0
1044,BM1L4C1F37,RR,7,14,0.0,0.0%,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')",0.0,0.0,0.0,0.0,0,14.0,4.0,0.0,14.0,"('FAI0248', 'M38_1', 'M38_2', 'M38_3', 'M38_4', 'FAI0243', 'FAI0241')"
1046,BM1L4C1F38,BU,33,15,15.0,100.0%,15.0,11.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
1047,BM1L4C1F38,LR,16,13,13.0,100.0%,13.0,12.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
